"filename", "language", "XML", "Properties", "Markdown", "JSON", "Batch", "comment", "blank", "total"
"c:\Users\marco\AndroidStudioProjects\LambdaApp\.idea\appInsightsSettings.xml", "XML", 26, 0, 0, 0, 0, 0, 0, 26
"c:\Users\marco\AndroidStudioProjects\LambdaApp\.idea\compiler.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\marco\AndroidStudioProjects\LambdaApp\.idea\deploymentTargetSelector.xml", "XML", 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\marco\AndroidStudioProjects\LambdaApp\.idea\gradle.xml", "XML", 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\marco\AndroidStudioProjects\LambdaApp\.idea\inspectionProfiles\Project_Default.xml", "XML", 41, 0, 0, 0, 0, 0, 0, 41
"c:\Users\marco\AndroidStudioProjects\LambdaApp\.idea\kotlinc.xml", "XML", 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\marco\AndroidStudioProjects\LambdaApp\.idea\migrations.xml", "XML", 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\marco\AndroidStudioProjects\LambdaApp\.idea\misc.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\marco\AndroidStudioProjects\LambdaApp\.idea\other.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\marco\AndroidStudioProjects\LambdaApp\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\marco\AndroidStudioProjects\LambdaApp\README.md", "Markdown", 0, 0, 34, 0, 0, 0, 9, 43
"c:\Users\marco\AndroidStudioProjects\LambdaApp\app\google-services.json", "JSON", 0, 0, 0, 95, 0, 0, 0, 95
"c:\Users\marco\AndroidStudioProjects\LambdaApp\app\release\output-metadata.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 37
"c:\Users\marco\AndroidStudioProjects\LambdaApp\app\src\main\AndroidManifest.xml", "XML", 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\marco\AndroidStudioProjects\LambdaApp\app\src\main\res\drawable\ic_check.xml", "XML", 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\marco\AndroidStudioProjects\LambdaApp\app\src\main\res\drawable\ic_donation.xml", "XML", 9, 0, 0, 0, 0, 0, 1, 10
